ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
US1TXDA0001,32.7998,-96.7012,162.2,TX,DALLAS 3.7 E                  ,   ,   ,     
US1TXDA0003,32.863,-96.845,159.1,TX,UNIVERSITY PARK 3.1 WNW       ,   ,   ,     
US1TXDA0004,32.9321,-96.5769,164.9,TX,ROWLETT 2.3 NW                ,   ,   ,     
US1TXDA0006,32.9573,-96.7469,189.9,TX,RICHARDSON 2.4 WSW            ,   ,   ,     
US1TXDA0007,32.5725,-96.9574,231.0,TX,CEDAR HILL 0.5 S              ,   ,   ,     
US1TXDA0013,32.7091,-96.8383,178.3,TX,DALLAS 7.2 SW                 ,   ,   ,     
US1TXDA0015,32.9781,-96.9981,140.2,TX,COPPELL 1.1 NNW               ,   ,   ,     
US1TXDA0016,32.6698,-96.9216,214.6,TX,DUNCANVILLE 1.7 NNW           ,   ,   ,     
US1TXDA0017,32.8297,-96.6486,167.0,TX,MESQUITE 5.1 NW               ,   ,   ,     
US1TXDA0021,32.9653,-96.7385,194.8,TX,RICHARDSON 1.7 WSW            ,   ,   ,     
US1TXDA0026,32.7476,-96.5493,139.9,TX,MESQUITE 3.3 ESE              ,   ,   ,     
US1TXDA0027,32.8041,-96.7863,150.9,TX,DALLAS 1.4 WNW                ,   ,   ,     
US1TXDA0033,32.9601,-96.8999,153.0,TX,CARROLLTON 1.9 S              ,   ,   ,     
US1TXDA0035,32.9575,-96.7479,183.8,TX,RICHARDSON 2.4 WSW            ,   ,   ,     
US1TXDA0036,32.5548,-96.9574,238.7,TX,CEDAR HILL 1.8 S              ,   ,   ,     
US1TXDA0037,32.8076,-96.6139,158.2,TX,MESQUITE 2.8 NNW              ,   ,   ,     
US1TXDA0039,32.8656,-96.6901,176.2,TX,DALLAS 6.6 NE                 ,   ,   ,     
US1TXDA0045,32.6383,-96.9014,210.9,TX,DUNCANVILLE 0.9 SE            ,   ,   ,     
US1TXDA0047,32.6137,-96.9712,191.4,TX,CEDAR HILL 2.4 NNW            ,   ,   ,     
US1TXDA0048,32.8211,-96.7492,172.8,TX,DALLAS 2.1 NNE                ,   ,   ,     
US1TXDA0050,32.5996,-96.9537,246.0,TX,CEDAR HILL 1.4 N              ,   ,   ,     
US1TXDA0052,32.7709,-96.6409,157.9,TX,MESQUITE 2.4 W                ,   ,   ,     
US1TXDA0053,32.8152,-96.8035,150.0,TX,DALLAS 2.7 WNW                ,   ,   ,     
US1TXDA0057,32.9368,-96.9476,132.0,TX,IRVING 5.6 NNE                ,   ,   ,     
US1TXDA0058,32.8731,-96.6238,159.4,TX,GARLAND 2.6 S                 ,   ,   ,     
US1TXDA0060,32.8525,-96.6399,165.8,TX,GARLAND 4.1 S                 ,   ,   ,     
US1TXDA0063,32.613,-96.8279,186.8,TX,DESOTO 2.2 ENE                ,   ,   ,     
US1TXDA0065,32.955,-96.6622,171.0,TX,GARLAND 3.6 NNW               ,   ,   ,     
US1TXDA0069,32.822,-96.5999,159.4,TX,MESQUITE 3.7 N                ,   ,   ,     
US1TXDA0070,32.8025,-96.6065,153.3,TX,MESQUITE 2.3 N                ,   ,   ,     
US1TXDA0072,32.9637,-96.5798,157.3,TX,SACHSE 0.8 S                  ,   ,   ,     
US1TXDA0073,32.9785,-96.5764,157.3,TX,SACHSE 0.4 NE                 ,   ,   ,     
US1TXDA0075,32.952,-96.8763,164.3,TX,CARROLLTON 2.8 SSE            ,   ,   ,     
US1TXDA0076,32.8075,-96.7591,164.6,TX,DALLAS 1.0 NNE                ,   ,   ,     
US1TXDA0077,32.5662,-96.8376,199.0,TX,GLENN HEIGHTS 1.4 NE          ,   ,   ,     
US1TXDA0080,32.6565,-96.9666,156.7,TX,DUNCANVILLE 3.2 WNW           ,   ,   ,     
US1TXDA0087,32.9568,-96.7522,187.1,TX,RICHARDSON 2.7 WSW            ,   ,   ,     
US1TXDA0089,32.9626,-96.7631,200.6,TX,RICHARDSON 3.2 WSW            ,   ,   ,     
US1TXDA0090,32.8501,-96.6365,166.4,TX,GARLAND 4.2 S                 ,   ,   ,     
US1TXDA0091,32.9378,-96.6588,181.4,TX,GARLAND 2.5 NW                ,   ,   ,     
US1TXDA0092,32.9393,-96.7791,187.1,TX,BUCKINGHAM 3.2 W              ,   ,   ,     
US1TXDA0093,32.7484,-96.5877,140.2,TX,MESQUITE 1.6 SSE              ,   ,   ,     
US1TXDA0097,32.571,-96.9755,251.5,TX,CEDAR HILL 1.2 WSW            ,   ,   ,     
US1TXDA0098,32.752,-96.8526,155.1,TX,COCKRELL HILL 2.3 ENE         ,   ,   ,     
US1TXDA0099,32.7409,-96.5886,133.5,TX,MESQUITE 2.0 SSE              ,   ,   ,     
US1TXDA0101,32.7276,-96.8577,178.3,TX,DALLAS 7.1 SW                 ,   ,   ,     
US1TXDA0102,32.9346,-96.8759,154.8,TX,FARMERS BRANCH 0.6 NNE        ,   ,   ,     
US1TXDA0103,32.979,-96.5667,164.0,TX,SACHSE 0.9 ENE                ,   ,   ,     
US1TXDA0105,32.9655,-96.5586,153.0,TX,SACHSE 1.4 ESE                ,   ,   ,     
US1TXDA0106,32.5768,-96.7952,162.2,TX,LANCASTER 1.5 SSW             ,   ,   ,     
US1TXDA0108,32.9422,-96.8101,183.8,TX,ADDISON 2.0 SE                ,   ,   ,     
US1TXDA0112,32.813,-96.6745,166.4,TX,DALLAS 5.4 ENE                ,   ,   ,     
US1TXDA0114,32.9576,-96.6715,186.5,TX,GARLAND 4.1 NW                ,   ,   ,     
USC00410058,32.9678,-96.8372,196.0,TX,ADDISON AIRPORT               ,   ,   ,     
USC00411490,32.985,-96.9258,166.1,TX,CARROLLTON                    ,   ,   ,     
USC00412228,32.8167,-96.7167,150.9,TX,DALLAS ARBORETUM              ,   ,   ,     
USC00412243,32.7744,-96.8214,112.5,TX,DALLAS                        ,   ,   ,     
USC00412247,32.7667,-96.7833,146.0,TX,DALLAS WFAA                   ,   ,   ,     
USC00412965,32.8667,-97.0167,-999.9,TX,ESTELLE                       ,   ,   ,     
USC00414597,32.6406,-96.9747,180.1,TX,JOE POOL LAKE                 ,   ,   ,     
USC00415863,32.7667,-96.6,-999.9,TX,MESQUITE                      ,   ,   ,     
USC00416116,32.7167,-96.9333,159.1,TX,MTN CREEK                     ,   ,   ,     
USW00003927,32.8975,-97.0219,165.8,TX,DAL-FTW WSCMO AP              ,   ,   ,72259
USW00003971,32.6781,-96.8678,200.6,TX,DALLAS REDBIRD AP             ,   ,   ,     
USW00013907,32.75,-96.9667,149.0,TX,DALLAS HENSLEY FLD AFB        ,   ,   ,     
USW00013960,32.8383,-96.8358,147.5,TX,DALLAS FAA AP                 ,   ,   ,72258
USW00053970,32.7469,-96.5306,136.2,TX,MESQUITE METRO AP             ,   ,   ,     
USW00053975,32.5792,-96.7192,152.7,TX,LANCASTER AP                  ,   ,   ,     
USW00093901,32.7333,-96.9667,150.0,TX,DALLAS HENSLEY FLD NAS        ,   ,   ,     
USW00093928,32.7667,-96.7833,195.1,TX,DALLAS WBO                    ,   ,   ,     
